text,link
,https://www.w3schools.com
Tutorials,javascript:void(0)
References,javascript:void(0)
Exercises,javascript:void(0)
Certificates,javascript:void(0)
Menu,javascript:void(0)
See More,javascript:void(0)
★+1,https://profile.w3schools.com/log-in
Get Certified,https://campus.w3schools.com/collections/course-catalog
Upgrade,https://order.w3schools.com/plans
Teachers,/academy/index.php
Spaces,/spaces/index.php
Bootcamps,/bootcamp/index.php
Get Certified,https://campus.w3schools.com/collections/course-catalog
Upgrade,https://order.w3schools.com/plans
Teachers,/academy/index.php
Spaces,https://spaces.w3schools.com
Bootcamps,/bootcamp/index.php
My W3Schools,https://pathfinder.w3schools.com
Spaces,/spaces/index.php
Get Certified,https://campus.w3schools.com/collections/course-catalog
Plus,https://order.w3schools.com/plans
Bootcamps,/bootcamp/index.php
Academy,/academy/index.php
Logout,https://profile.w3schools.com/logout
,https://www.youtube.com/@w3schools
,https://www.linkedin.com/company/w3schools.com/
,https://discord.com/invite/w3schools
,https://www.facebook.com/w3schoolscom/
,https://www.instagram.com/w3schools.com_official/
LearnHTML,/html/default.asp
Tutorial,/html/default.asp
Reference,/tags/default.asp
LearnCSS,/css/default.asp
Tutorial,/css/default.asp
Reference,/cssref/default.asp
LearnRWD,/css/css_rwd_intro.asp
Tutorial,/css/css_rwd_intro.asp
LearnBootstrap,/bootstrap/bootstrap_ver.asp
Overview,/bootstrap/bootstrap_ver.asp
LearnW3.CSS,/w3css/default.asp
Tutorial,/w3css/default.asp
Reference,/w3css/w3css_references.asp
LearnSass,/sass/default.asp
Tutorial,/sass/default.asp
Reference,/sass/sass_functions_string.asp
LearnColors,/colors/default.asp
Tutorial,/colors/default.asp
Reference,/colors/colors_fs595.asp
LearnIcons,/icons/default.asp
Tutorial,/icons/default.asp
Reference,/icons/icons_reference.asp
LearnSVG,/graphics/svg_intro.asp
Tutorial,/graphics/svg_intro.asp
Reference,/graphics/svg_reference.asp
LearnCanvas,/graphics/canvas_intro.asp
Tutorial,/graphics/canvas_intro.asp
Reference,/graphics/canvas_reference.asp
LearnGraphics,/graphics/default.asp
Tutorial,/graphics/default.asp
LearnUTF-8 and Emojis,/charsets/default.asp
Reference,/charsets/default.asp
LearnHow To,/howto/default.asp
Tutorial,/howto/default.asp
LearnAI,/ai/default.asp
Tutorial,/ai/default.asp
LearnGenerative AI,/gen_ai/index.php
Tutorial,/gen_ai/index.php
LearnChatGPT-3.5,/gen_ai/chatgpt-3-5/index.php
Tutorial,/gen_ai/chatgpt-3-5/index.php
LearnChatGPT-4,/gen_ai/chatgpt-4/index.php
Tutorial,/gen_ai/chatgpt-4/index.php
LearnGoogle Bard,/gen_ai/bard/index.php
